Product,Brand,Company,Country,Products Links
Seasons,Cookania,Volka Food International (Pvt.) Ltd.,Pakistan,https://volkafood.com/wp-content/uploads/2023/10/Seasons-ticky.png
Peanut Plus,Cookania,Volka Food International (Pvt.) Ltd.,Pakistan,https://volkafood.com/wp-content/uploads/2023/10/Peanut-plus-mini.png
Pirates ,Cookania,Volka Food International (Pvt.) Ltd.,Pakistan,https://volkafood.com/wp-content/uploads/2022/03/10.png
Hello Panda,Cookania,Volka Food International (Pvt.) Ltd.,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjlb6L7F7TFu7oV0mVsD5mwMuVfoVcA_mFbwpAFdNdKg&s
Dewberry,Cookania,Volka Food International (Pvt.) Ltd.,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRySA_wDHpSEzDn9yhhZtUpYBz5hiyWlxWRXmo3j6Ofew&s
Happy Face,Cookania,Volka Food International (Pvt.) Ltd.,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSZfmPbIC1uTo2MphyggD_aw5Gv5uNPF9tftaw1KECTA&s
Crunchy,Cookania,Volka Food International (Pvt.) Ltd.,Pakistan,https://volkafood.com/wp-content/uploads/2022/03/14.png
,,,,
Butter Crunch,Innovative,Innovative Biscuits (Pvt.)Ltd.,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeK4AvqBSV0wBagg1HyKcmuDxUX5cGrFwwAA8m-ESxQA&s
Choc n Chip,Innovative,Innovative Biscuits (Pvt.)Ltd.,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIdbJTeLly3uX7tT6V3SJHZOsN24aEicdVQefGe2Lm7A&s
Digestive,Innovative,Innovative Biscuits (Pvt.)Ltd.,Pakistan,https://www.innovativebiscuits.com/mobile/img/products/p1/digestive-pack-open1.png
Jumbo Junior,Innovative,Innovative Biscuits (Pvt.)Ltd.,Pakistan,https://www.innovativebiscuits.com/mobile/img/products/p3/jumbo-junior.png
Crust Wafers,Innovative,Innovative Biscuits (Pvt.)Ltd.,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuRFTPta9yMtettZmlQTo9zJ5bElbDeSbpiWaNiwXwPQ&s
Goodies,Innovative,Innovative Biscuits (Pvt.)Ltd.,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpu-DuXWsnSHcxL8Bh_Pvjp_Nnn0N0JhF8rM4cbAk5lg&s
Bittens,Innovative,Innovative Biscuits (Pvt.)Ltd.,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkAXmNySYM3TW5UE7nE4G7-z7UjKRI-y4Y6NRgYM6guQ&s
Haven,Innovative,Innovative Biscuits (Pvt.)Ltd.,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIhfTBMmijawYgsrjTXWFHiccYKdL_oUJZPF0777xJcw&s
Fabulous,Innovative,Innovative Biscuits (Pvt.)Ltd.,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFtT7d0EnZbKmYJhP5vE6avp3r045zdj3T0P3QoVms&s
Charm,Innovative,Innovative Biscuits (Pvt.)Ltd.,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQR1jgv9rGH8grHL67jOqzchi46knnC9tOf52uWpku3Jg&s
Golden Lotus,Innovative,Innovative Biscuits (Pvt.)Ltd.,Pakistan,https://www.innovativebiscuits.com/mobile/img/products/golden-lotus/golden-lotus-package.png
Bricklane,Innovative,Innovative Biscuits (Pvt.)Ltd.,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIRt506f1AlOZZmcX-H2q0lmizYr6nluFj4E0BS8eZAQ&s
Tooo Gud,Innovative,Innovative Biscuits (Pvt.)Ltd.,Pakistan,https://www.innovativebiscuits.com/mobile/img/products/home/too-good-packageshot.png
Peanut,Innovative,Innovative Biscuits (Pvt.)Ltd.,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6Qs-Iho1JeFB4HlF4R1tnO6hBLXq3m6zMX6EozKnV1w&s
Zeera,Innovative,Innovative Biscuits (Pvt.)Ltd.,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxyRg3m1Vx_mtSlzgRWZGTcx3UdYI356yx-ijrV9Cdgg&s
Olys(cocomo),Innovative,Innovative Biscuits (Pvt.)Ltd.,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAcFc6edrjMUORdXgzVv6OdaDj6GjlX9fABzJxT-1ZuQ&s
,,,,
Choc Day,Mayfair,Asian Food Industries Limited (AFI),Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJMyhq0NS4ZdjKPGkaReslM-ZcxdeXhMltc26TQi0N0w&s
Special,Mayfair,Asian Food Industries Limited (AFI),Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaR9d7O2pz07s_CKKaK8NPHWdoIZ6bouktj0e9PAwCtw&s
Zeera,Mayfair,Asian Food Industries Limited (AFI),Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAQ3xOdKWpZSFejp-ma_Gs7obZX46oFdjScms4UWMJ1A&s
Chip Xpress,Mayfair,Asian Food Industries Limited (AFI),Pakistan,https://mayfair.com.pk/wp-content/uploads/2021/04/web-17.png
WOW,Mayfair,Asian Food Industries Limited (AFI),Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQatQ0h_6RVveOijIlhSrceJRgmdsUDlbZteJXsg5vSSA&s
Cafe,Mayfair,Asian Food Industries Limited (AFI),Pakistan,https://mayfair.com.pk/wp-content/uploads/2018/05/cafe-1-1.png
Krakerz,Mayfair,Asian Food Industries Limited (AFI),Pakistan,https://mayfair.com.pk/wp-content/uploads/2021/04/krakers-web-1-scaled-1.jpg
Aala,Mayfair,Asian Food Industries Limited (AFI),Pakistan,https://mayfair.com.pk/wp-content/uploads/2020/02/Aala-Thumb.jpg
Frooto ,Mayfair,Asian Food Industries Limited (AFI),Pakistan,https://creativecom.co/wp-content/uploads/2022/03/Frooto-copy.jpg
Eclairs,Mayfair,Asian Food Industries Limited (AFI),Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHFUcSm4o06Xxalwe5HlZnxpWaH5dawHfv91n5Bp8pvg&s
Center Fresh,Mayfair,Asian Food Industries Limited (AFI),Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFtSLUipuBnyxOYkias8OIl6V4z5wWA-rZtEegGdYzQQ&s
Wobbly,Mayfair,Asian Food Industries Limited (AFI),Pakistan,https://pk-live-21.slatic.net/kf/Sf7ec941bc6a54d6a96cab62b429a19e2P.jpg
Mclairs,Mayfair,Asian Food Industries Limited (AFI),Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCW3F2mtkZ38UJMAjfb_QjmzCNtjozmZdv82iND-yotg&s
Creamers,Mayfair,Asian Food Industries Limited (AFI),Pakistan,https://mayfair.com.pk/wp-content/uploads/2023/07/creamer_phone.jpg
Tiger,Mayfair,Asian Food Industries Limited (AFI),Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2R5T_a4zw7pqzsUd25AngcM4Xuo3W7XONPz9iIqMTMg&s
,,,,
CupCake,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzss0qSgctnVZErI0Ioj0tPhdlR2H0SBMbVPPxoe8xgw&s
Kake,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdq7CvpD-HO7IrwO8qwFWdOzZFyYOJfW5Q0DqLMQjH_Q&s
BakeTime,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSaG1cchFR37kkDLy5o2tp8XZMPZLuzsfDMIwox-rFYg&s
Freshup,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlqnftS5tW6PuoO3XCx9VQf5Cdl9piMFXjVQy73ZZ5BA&s
CreamFillz,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2pVdKnBztGY_6abOaDDp3LUSSfGICHQ26FBko0fBBSA&s
Wispy Wafer Rolls,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYDWthofaUebWWQffYLaWQ9RVmtvFVExiLdjCCD_3NKQ&s
Giggles Crunch & Jelly,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7U5iIPDMSNVjqY4EXrO7Se39brr-8nEa6KY5pB7BYJQ&s
DingDong,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQasiodFJeRmhyjlwHmbbOSWoz5zVfr55USy6I_q2n4Ng&s
Candeez Aamrus,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZIMZd_Hlj94hHfTpzeOIr12QZyGE2EcjsYg4R1zKsqg&s
Candeez Super Sour,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQp_o1uGAfY9WsPZZp4pylV3BUlLnLPCHzFd3vfy1GO5Q&s
Candeez Pan Pasand,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2my0UhqBAv6F5VCeiMaeo0MuSOoyqz17ZNG4RXzGSzg&s
Candeez  Khopra,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://hilalfoods.com.pk/wp-content/uploads/2020/04/khopra-candy.png
Candeez Choran Chatni,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://hilalfoods.com.pk/wp-content/uploads/2020/04/slider-choran-chatni.png
Candeez Hajmola,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://hilalfoods.com.pk/wp-content/uploads/2020/04/slider-hajmola.png
Choco4,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9hX3YiqHv1JhYV_UagXksqfOa9UNegeJjEgCDyX6k2Q&s
Toffichoo,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://hilalfoods.com.pk/wp-content/uploads/2021/01/slider-rumpum-strawberry.png
Topclair,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://hilalfoods.com.pk/wp-content/uploads/2020/07/Topclair-Wrp.png
Paan Bahar Mint,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://hilalfoods.com.pk/wp-content/uploads/2021/02/slider-paanbahar-mint.png
Sun up Limo Pani,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://hilalfoods.com.pk/wp-content/uploads/2021/01/slider-sunsip.png
Panda Kake,Hilal,Hilal Food (Pvt.)Limited,Pakistan,https://hilalfoods.com.pk/wp-content/uploads/2021/01/slider-chocolate-pandaCake.png
,,,,
Boost,Cadbury,Mondelez International / Kraft Foods,England,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQL5nZfKCwF5r476Ijp_TuScsUhKbl_uza7ROeQc4rNwQ&s
Bista Wispa,Cadbury,Mondelez International / Kraft Foods,England,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfvDAX8Nwgh_7Q_mUkzpLbxb7fV5yBzpTYhXilKqwmSg&s
Bournville,Cadbury,Mondelez International / Kraft Foods,England,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYEznoHlLV4u1yRbGwjdVUBK7BCP3Klif3iQ1sk8zwJw&s
Brunch,Cadbury,Mondelez International / Kraft Foods,England,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrqBxVsr2mzYKf12pUtIWgO48-NJ5O74dp-lcsrPfdmw&s
Dairy Milk,Cadbury,Mondelez International / Kraft Foods,England,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxuaKcTaKB9JTqLRUtOVz_1Fko6Dt_yIIp5A-IwGzHcg&s
Creme Egg,Cadbury,Mondelez International / Kraft Foods,England,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQd4XeFaIFiJtsWp9AIU61nNkUIAN0t_mmp6WYVwHl2LQ&s
Crunchie,Cadbury,Mondelez International / Kraft Foods,England,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMjVKBJxhlf8PHEORk0G9cWBWy5nP_Cm8ZS4oNLA282g&s
Curly Wurly,Cadbury,Mondelez International / Kraft Foods,England,"https://m.media-amazon.com/images/I/51WsGAxAtaL._AC_UF1000,1000_QL80_.jpg"
Caramel Egg,Cadbury,Mondelez International / Kraft Foods,England,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQF7OtSrIwoqlsrxP6TWpPtayZ1HbhrsO-LvB0IZZY2_g&s
Darkmilk,Cadbury,Mondelez International / Kraft Foods,England,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzdukFLPVSGj2eOGifrDH5CrPd_35dRyE1T_Qai90OlA&s
Delight,Cadbury,Mondelez International / Kraft Foods,England,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQR9Dd8UxAW__d1DPzmV157gK60vYQ-mC8hg-hTdL7Y6A&s
Double Decker,Cadbury,Mondelez International / Kraft Foods,England,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSE8az8OumMYIlj1x3B6QP2WMoUXKGMhFBe9UJEGOUotQ&s
Flake,Cadbury,Mondelez International / Kraft Foods,England,https://i5.walmartimages.com/seo/Cadbury-Flake-Candy-Bar-1-12-oz_b1f085cb-c1a8-4daf-85fd-5c0220d52f19.f24d10530ec5a8b56bd6fc2a6d72cff3.jpeg
Heroes,Cadbury,Mondelez International / Kraft Foods,England,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuVgJD4K9VPLxmZQX5iyQdRURLWQj5lfI4MqZRY3qMHg&s
,,,,
Kurleez,Snack City,Ismail Industries Limited,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPrlPtegwAgr-rhXURhq1t4c3EWU0QBiWSyuGKOuQhUg&s
Smax,Snack City,Ismail Industries Limited,Pakistan,https://www.snackcity.com.pk/assets/images/snackcity_products/15-Smax-3d-20.png
Hoops,Snack City,Ismail Industries Limited,Pakistan,https://www.snackcity.com.pk/assets/images/snackcity_products/07-Hoops-3d.png
Peanuts,Snack City,Ismail Industries Limited,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsH9TRU6ME429ssySTHickelW3mQX7u6T-lgCZaRZoJg&s
Chillz,Snack City,Ismail Industries Limited,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCaKaCxnPOr_grAFNrk_f40LLYHyF_iMOQ89gchqQbcQ&s
Fillz,Snack City,Ismail Industries Limited,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1Ra9lQ46cc9mS4zwElGw63WT7f2x3BNJeQeBhx0ToXg&s
,,,,
Salanty,Kolson,Lotte Coperations,South Korean,https://synergyzer.com/wp-content/uploads/2017/08/slanty-cover-1.jpg
Cheese Balls,Kolson,Lotte Coperations,South Korean,https://cheezwala.com/wp-content/uploads/2024/01/Cheese-Balls-Red.png
Choco Pie,Kolson,Lotte Coperations,South Korean,https://nazarjanssupermarket.com/cdn/shop/files/kolson-lotte-choco-pie-1x12-nazar-jan-s-supermarket.jpg?v=1715264054
Twich,Kolson,Lotte Coperations,South Korean,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrx6jp3Evn04QYGbEETRhw2MI9hBWX_lmphKJdtW095w&s
Potato Sticks,Kolson,Lotte Coperations,South Korean,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThW_x84mx6XO3gSU9gCTyzdE7I2N8d3Z-9QWcLpNWPjw&s
Snackers,Kolson,Lotte Coperations,South Korean,https://pictures.grocerapps.com/original/grocerapp-kolson-snackers-hot-masala-6066bfc4d51b7.jpeg
Bravo,Kolson,Lotte Coperations,South Korean,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTP1rLTJ20KYxmlcLt7p04h7bbA8LOZlplXfwJ0Tat26Q&s
,,,,
Boom Boom ,Giggly,Volka Food International,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRV0mpzaRLZkxfazyLnGaJwgyiz7DbayYxligO1vtZQDw&s
Twisto,Giggly,Volka Food International,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW_b_pf2ScPYJYyP8HRUFnBvaYkX8zG2EOBsFi5bvUsw&s
Silk,Giggly,Volka Food International,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScWuUcWNqubEU-Jh04SgCgsZSr4fa7NGHzL7Dmtpdnzg&s
Milkees,Giggly,Volka Food International,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNLpWGsCc4fXY11FuSMt53equ4yakRsDeWpKjCer5V-g&s
Fruit Max,Giggly,Volka Food International,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtZxC-aWlIzdIhkjztTyoeGbvwqLqrJXJDU388XR60tw&s
Eclairs,Giggly,Volka Food International,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThU2IVqJGG6wwVmQSTOvMKnTzvpmLXYVpLc8M-2va7pA&s
Opus,Giggly,Volka Food International,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxWPsRzWWIfY28IVhr0WOmDaPzQTNwJ5ggvaKv-Vyp8g&s
Filly,Giggly,Volka Food International,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQAFqzrv5wVMJVx2qE02P4M0e3QOt5aWdA6UIWHxdTTQ&s
Pizzelo,Giggly,Volka Food International,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4eaoJUA1fqcMM9ZDpRWfETKjl7Dm-r5plTdui_boINA&s
ChatKhaari,Giggly,Volka Food International,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeLlHL7TFV0UWbBLHeAz8uyEIUNOTShFVZPz7xDiiR9g&s
Elaichi,Giggly,Volka Food International,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIrZ4207tGcZr7de16sjzI2cgWK8qfJI4TxQnvzEHB3w&s
,,,,
Wafers,Whistlez,Rupali Foods,Pakistan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQsUCb6PZFDDqkXJpV3w91j-rVZIZtXOed5JY0EWYXyg&s
